id,name,name_kana,gender,birth_date,email,phone,user,department,assigned_locations,position,employment_type,hire_date,work_constraints,qualifications,work_details,committees,teams,clinical_ladder,yearly_goals,career_history,ability_rating,performance_evaluation,admin_notes,interview_history,notes,created_at,updated_at,is_active
1,神 道人,じん みちひと,男性,1977-05-23,jin.nana2005128@gmail.com,090-2201-5598,jin_user,"[""看護部"", ""臨床工学科""]","{""AM"": ""透析室"", ""PM"": ""透析室""}","[""看護師"", ""臨床工学技士""]",常勤,2013-01-01,"{""制限"": ""なし""}","[""正看護師"", ""臨床工学技士""]","[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に1回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:30""}]","[""チーム医療""]",CL4,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2016〜: 現在の病院",85,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-01"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:00,2025-04-15-10:00,TRUE
2,大谷 興,おおたに こう,男性,1977-05-24,jin.nana2005129@gmail.com,090-2201-5599,ootani_user,看護部,"{""AM"": ""透析室"", ""PM"": ""透析室""}",看護師,常勤,2012-04-01,"{""制限"": ""なし""}",正看護師,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に2回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:31""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2017〜: 現在の病院",86,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-02"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:01,2025-04-15-10:01,TRUE
3,渥美 大五,あつみ だいご,男性,1977-05-25,jin.nana2005130@gmail.com,090-2201-5600,atumi_user,看護部,"{""AM"": ""透析室"", ""PM"": ""透析室""}",看護師,常勤,2013-01-02,"{""制限"": ""なし""}",正看護師,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に3回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:32""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2018〜: 現在の病院",87,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-03"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:02,2025-04-15-10:02,TRUE
4,寺島 靖人,てらしま のぶてる,男性,1977-05-26,jin.nana2005131@gmail.com,090-2201-5601,terasima_user,看護部,"{""AM"": ""透析室"", ""PM"": ""透析室""}",看護師,常勤,2012-04-02,"{""制限"": ""なし""}",正看護師,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に4回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:33""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2019〜: 現在の病院",88,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-04"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:03,2025-04-15-10:03,TRUE
5,木村 陽子,きむら ようこ,女性,1977-05-27,jin.nana2005132@gmail.com,090-2201-5602,kimura_user,看護部,"{""AM"": ""透析室"", ""PM"": ""透析室""}",看護師,常勤,2013-01-03,"{""制限"": ""なし""}",正看護師,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に5回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:34""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2020〜: 現在の病院",89,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-05"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:04,2025-04-15-10:04,TRUE
6,丸谷 啓彰,まるや ひろあき,男性,1977-05-28,jin.nana2005133@gmail.com,090-2201-5603,maruya_user,臨床工学技士科,"{""AM"": ""透析室"", ""PM"": ""透析室""}",臨床工学技士,常勤,2012-04-03,"{""制限"": ""なし""}",臨床工学技士,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に6回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:35""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2021〜: 現在の病院",90,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-06"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:05,2025-04-15-10:05,TRUE
7,村上 加奈,みらかみ かな,女性,1977-05-29,jin.nana2005134@gmail.com,090-2201-5604,murakami_user,臨床工学技士科,"{""AM"": ""透析室"", ""PM"": ""透析室""}",臨床工学技士,常勤,2013-01-04,"{""制限"": ""なし""}",臨床工学技士,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に7回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:36""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2022〜: 現在の病院",91,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-07"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:06,2025-04-15-10:06,TRUE
8,高橋 海人,たかはし かいと,男性,1977-05-30,jin.nana2005135@gmail.com,090-2201-5605,takahasi_user,臨床工学技士科,"{""AM"": ""透析室"", ""PM"": ""透析室""}",臨床工学技士,常勤,2012-04-04,"{""制限"": ""なし""}",臨床工学技士,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に8回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:37""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2023〜: 現在の病院",92,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-08"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:07,2025-04-15-10:07,TRUE
9,石塚 純子,いしずか じゅんこ,女性,1977-05-31,jin.nana2005136@gmail.com,090-2201-5606,isizuka_user,看護部,"{""AM"": ""透析室"", ""PM"": ""透析室""}",看護補助,非常勤,2013-01-05,"{""制限"": ""なし""}",介護福祉士,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に9回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:38""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2024〜: 現在の病院",93,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-09"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:08,2025-04-15-10:08,TRUE
10,小黒 類,おぐろ るい,女性,1977-05-32,jin.nana2005137@gmail.com,090-2201-5607,oguro_user,看護部,"{""AM"": ""透析室"", ""PM"": ""透析室""}",看護補助,非常勤,2012-04-05,"{""制限"": ""なし""}",介護福祉士,"[""管理業務"", ""透析室業務"", ""救急宿直業務月2回以上"", ""透析室リーダー業務"", ""シャントエコー業務"", ""中央材料室業務"", ""透析室サブリーダー業務"", ""IVCエコー業務"", ""整形外科外来業務"", ""24時間血圧管理業務"", ""婦人科外来業務"", ""ペースメーカー設定業務"", ""泌尿器科外来業務"", ""中央材料室在庫管理業務"", ""医療安全管理者業務"", ""中央医療機器管理業務"", ""手術室業務"", ""月に10回病院待機業務"", ""内視鏡外来業務"", ""オンライン診察シャントエコー業務""]","[{""name"": ""医療安全管理委員会"", ""schedule"": ""毎月第4木曜日 16:30""}, {""name"": ""医療安全管理室委員会"", ""schedule"": ""毎週木曜 17:00""}, {""name"": ""感染管理委員会"", ""schedule"": ""毎月第3木曜日 16:30""}, {""name"": ""倫理委員会"", ""schedule"": ""随時""}, {""name"": ""高齢者虐待委員"", ""schedule"": ""毎月第4木曜日 16:45""}, {""name"": ""身体拘束委評価員会"", ""schedule"": ""毎月第4木曜日 16:55""}, {""name"": ""診療録員会"", ""schedule"": ""毎月第1火曜日 17:15""}, {""name"": ""看護師長会"", ""schedule"": ""毎週金曜 11:00""}, {""name"": ""管理職会議"", ""schedule"": ""毎月第4金曜日 16:30""}, {""name"": ""地域包括ケア会議"", ""schedule"": ""毎月第3水曜日 16:39""}]","[""チーム医療""]",CL3,後輩育成とリーダーシップの強化,"2010〜2015: A病院勤務, 2025〜: 現在の病院",94,"{""リーダー経験"": true, ""資格取得"": [""透析技術認定""]}",積極的な姿勢でリーダー候補,"[{""date"": ""2024-03-01"", ""summary"": ""年度初面談""}, {""date"": ""2024-09-10"", ""summary"": ""中間評価""}]",夜勤は家庭事情で不可,2025-04-01-10:09,2025-04-15-10:09,TRUE
